branch,block_length,probability,unsigned_weight,negative_mass,physical_rate,support_rate,sign_cost,surviving_fraction,minimum_wigner,maximum_wigner,time,n_sites,block_start,cumulative_discarded_weight,maximum_bond,identity_A_minus_P_minus_2nu,identity_r_minus_s_minus_q
branch1,4,0.005471103058626034,0.07279459175955787,0.033661744350465914,1.3020687567055371,0.6550284038890312,0.6470403528165061,0.07515809796278833,-0.0014360620169922534,0.00200605270928707,0.38,50,23,2.994087462001276e-16,15,0.0,-1.1102230246251565e-16
branch2,4,0.005471103058626043,0.0727945917595579,0.03366174435046592,1.302068756705537,0.655028403889031,0.6470403528165057,0.07515809796278843,-0.001436062016992249,0.002006052709287067,0.38,50,23,2.994087462001276e-16,15,1.3877787807814457e-17,1.1102230246251565e-16
competing,4,0.010942206117252077,0.14558918351911576,0.06732348870093183,1.1287819615655508,0.4817416087490448,0.6470403528165058,0.07515809796278837,-0.0014360620169922534,0.00200605270928707,0.38,50,23,2.994087462001276e-16,15,2.7755575615628914e-17,1.1102230246251565e-16
initial,5,0.09033428044940167,0.09033428044940167,0.0,0.4808476524291573,0.4808476524291573,0.0,1.0,9.745517648976461e-05,0.003988011666229424,0.38,50,22,2.994087462001276e-16,15,0.0,0.0
branch1,5,0.001534027593228466,0.03900460736563885,0.01873528988620519,1.2959717176871668,0.6488151004499404,0.6471566172372266,0.039329394572495284,-0.00031063960984232137,0.00047167106957495013,0.38,50,22,2.994087462001276e-16,15,0.0,-2.220446049250313e-16
branch2,5,0.0015340275932284714,0.03900460736563889,0.018735289886205205,1.2959717176871663,0.6488151004499401,0.6471566172372262,0.03932939457249538,-0.00031063960984232,0.00047167106957494867,0.38,50,22,2.994087462001276e-16,15,6.938893903907228e-18,1.1102230246251565e-16
competing,5,0.0030680551864569377,0.07800921473127774,0.037470579772410396,1.1573422815751777,0.5101856643379512,0.6471566172372263,0.03932939457249533,-0.00031063960984232137,0.00047167106957495013,0.38,50,22,2.994087462001276e-16,15,1.3877787807814457e-17,2.220446049250313e-16
initial,6,0.057216255090428325,0.057216255090428325,0.0,0.47681954017754197,0.47681954017754197,0.0,1.0,1.6492235561974617e-05,0.0013293372220744035,0.38,50,22,2.994087462001276e-16,15,0.0,0.0
branch1,6,0.00043067729073130554,0.020903710896070758,0.010236516802669727,1.2916919156188946,0.6446380968227408,0.647053818796154,0.02060291078806775,-7.32465987611334e-05,0.00011089486150361976,0.38,50,22,2.994087462001276e-16,15,0.0,-1.1102230246251565e-16
branch2,6,0.0004306772907313027,0.02090371089607077,0.010236516802669734,1.2916919156188957,0.6446380968227406,0.6470538187961551,0.020602910788067603,-7.324659876113339e-05,0.00011089486150361912,0.38,50,22,2.994087462001276e-16,15,0.0,0.0
competing,6,0.0008613545814626083,0.04180742179214153,0.02047303360533946,1.176167385525571,0.5291135667294165,0.6470538187961545,0.020602910788067672,-7.32465987611334e-05,0.00011089486150361976,0.38,50,22,2.994087462001276e-16,15,0.0,0.0
initial,7,0.03623997852215852,0.03623997852215852,0.0,0.47394177006617205,0.47394177006617205,0.0,1.0,2.802575685393028e-06,0.0004431124073581823,0.38,50,21,2.994087462001276e-16,15,0.0,0.0
branch1,7,0.00012090614290768257,0.011203195770678152,0.005541144813885235,1.288642284544375,0.6416508863877374,0.6469913981566379,0.010792111945783115,-1.7270698475691726e-05,2.4627616167910412e-05,0.38,50,21,2.994087462001276e-16,15,0.0,-2.220446049250313e-16
branch2,7,0.00012090614290768265,0.011203195770678165,0.00554114481388524,1.288642284544375,0.641650886387737,0.6469913981566379,0.010792111945783112,-1.72706984756917e-05,2.4627616167910358e-05,0.38,50,21,2.994087462001276e-16,15,1.734723475976807e-18,1.1102230246251565e-16
competing,7,0.0002418122858153652,0.02240639154135632,0.011082289627770475,1.1896212587500972,0.5426298605934593,0.6469913981566379,0.010792111945783112,-1.7270698475691726e-05,2.4627616167910412e-05,0.38,50,21,2.994087462001276e-16,15,3.469446951953614e-18,0.0
initial,8,0.022953907547059584,0.022953907547059584,0.0,0.47178338668504133,0.47178338668504133,0.0,1.0,4.758838618884216e-07,0.00014770413578603844,0.38,50,21,2.994087462001276e-16,15,0.0,0.0
branch1,8,3.3940136720175115e-05,0.006004247733860364,0.0029851537985700945,1.2863640337344924,0.639411013074134,0.6469530206603584,0.005652687601274854,-3.702999297294326e-06,5.462654682779398e-06,0.38,50,21,2.994087462001276e-16,15,0.0,0.0
branch2,8,3.3940136720174865e-05,0.006004247733860368,0.002985153798570097,1.2863640337344933,0.6394110130741338,0.6469530206603594,0.005652687601274808,-3.702999297294308e-06,5.462654682779369e-06,0.38,50,21,2.994087462001276e-16,15,-8.673617379884035e-19,0.0
competing,8,6.788027344034999e-05,0.012008495467720731,0.005970307597140192,1.1997206361644996,0.5527676155041407,0.6469530206603589,0.005652687601274832,-3.702999297294326e-06,5.462654682779398e-06,0.38,50,21,2.994087462001276e-16,15,-1.734723475976807e-18,1.1102230246251565e-16
initial,9,0.014538688935039701,0.014538688935039701,0.0,0.4701046644968749,0.4701046644968749,0.0,1.0,8.075596972705931e-08,4.923471192868859e-05,0.38,50,20,2.994087462001276e-16,15,0.0,0.0
branch1,9,9.527459388194027e-06,0.003217916437054917,0.0016041944888333616,1.284592496310595,0.6376690220114528,0.6469234742991422,0.002960754132233991,-8.521506302043995e-07,1.2844163277267714e-06,0.38,50,20,2.994087462001276e-16,15,-4.336808689942018e-19,0.0
branch2,9,9.527459388194101e-06,0.0032179164370549178,0.0016041944888333616,1.2845924963105941,0.6376690220114528,0.6469234742991413,0.0029607541322340136,-8.521506302043921e-07,1.2844163277267676e-06,0.38,50,20,2.994087462001276e-16,15,4.336808689942018e-19,0.0
competing,9,1.9054918776388128e-05,0.006435832874109835,0.003208388977666723,1.2075761429150451,0.5606526686159033,0.6469234742991418,0.0029607541322340023,-8.521506302043995e-07,1.2844163277267714e-06,0.38,50,20,2.994087462001276e-16,15,0.0,0.0
initial,4,0.1268055551972851,0.1268055551972851,0.0,0.5162751068086329,0.5162751068086329,0.0,1.0,0.0005180343884598837,0.011862265648483033,0.4,50,23,3.3253556930226336e-16,15,0.0,0.0
branch1,4,0.007545749684373694,0.0754831055182738,0.03396867791695006,1.22169270748809,0.6459616039342073,0.5757311035538827,0.09996607363414499,-0.0015005794068479762,0.002266330170462368,0.4,50,23,3.3253556930226336e-16,15,-2.7755575615628914e-17,-1.1102230246251565e-16
branch2,4,0.0075457496843737756,0.07548310551827388,0.033968677916950046,1.2216927074880872,0.645961603934207,0.5757311035538802,0.09996607363414596,-0.001500579406847969,0.002266330170462363,0.4,50,23,3.3253556930226336e-16,15,1.3877787807814457e-17,0.0
competing,4,0.01509149936874747,0.15096621103654767,0.0679373558339001,1.0484059123481022,0.47267480879422086,0.5757311035538814,0.09996607363414547,-0.0015005794068479762,0.002266330170462368,0.4,50,23,3.3253556930226336e-16,15,0.0,0.0
