time,n_sites,dt,max_bond,cutoff,prob_initial,prob_branch1,prob_branch2,prob_competing_group,return_echo,rate_initial,rate_branch1,rate_branch2,rate_competing_group,rate_total,rate_lower_envelope,delta_rate_individual,delta_rate_grouped,branch_symmetry_relative_error,local_ordered_moment,mps_norm,cumulative_discarded_weight,realized_maximum_bond
0.56,20,0.02,48,1e-10,2.7779819871027988e-06,5.51562345861118e-07,5.515623458611249e-07,1.103124691722243e-06,3.881106678825041e-06,0.6396892898888703,0.7205255478421665,0.7205255478421659,0.6858681888141689,0.6229695109248569,0.6396892898888703,-0.0808362579532958,-0.0461788989252985,1.2477542653308776e-14,0.0228879508035591,0.999999999999996,3.292425944440797e-18,33
0.58,20,0.02,48,1e-10,2.107483188565671e-06,1.177166008155724e-06,1.177166008155745e-06,2.354332016311469e-06,4.461815204877141e-06,0.6535008062029004,0.682620034808451,0.6826200348084501,0.6479626757804533,0.6159977439061866,0.6535008062029004,-0.0291192286055501,0.0055381304224471,1.780892864668113e-14,-0.0014019278177334,1.0000000000000002,3.409008485976127e-18,34
0.6,20,0.02,48,1e-10,1.5838400819862064e-06,2.3246078845638444e-06,2.324607884563869e-06,4.649215769127713e-06,6.23305585111392e-06,0.6677829114005359,0.6485979592474382,0.6485979592474378,0.6139406002194407,0.599282191981339,0.6485979592474378,0.0191849521530979,0.0538423111810951,1.0566924268599134e-14,-0.0231147491396995,1.0000000000000036,3.5933264293656e-18,36
0.62,20,0.02,48,1e-10,1.1741948798650545e-06,4.263863760024468e-06,4.2638637600244985e-06,8.527727520048967e-06,9.70192239991402e-06,0.682746392692818,0.6182667411412478,0.6182667411412475,0.5836093821132503,0.5771593253266477,0.6182667411412475,0.0644796515515703,0.0991370105795677,7.151538561583806e-15,-0.0422617551981861,0.9999999999999952,3.689377998061276e-18,37
0.64,20,0.02,48,1e-10,8.56168378833239e-07,7.292475171309423e-06,7.292475171309553e-06,1.4584950342618976e-05,1.5441118721452215e-05,0.6985399387951987,0.5914333769949394,0.5914333769949385,0.5567760179669416,0.5539238279969927,0.5914333769949385,0.1071065618002597,0.141763920828257,1.7771200845465037e-14,-0.0588770694127718,1.0000000000000016,3.7763805024883035e-18,38
0.66,20,0.02,48,1e-10,6.129641272965069e-07,1.1675521949851926e-05,1.1675521949852258e-05,2.3351043899704185e-05,2.396400802700069e-05,0.7152479711315187,0.5679008024391596,0.5679008024391582,0.5332434434111616,0.5319478759390924,0.5679008024391582,0.1473471686923597,0.1820045277203571,2.8438721347947284e-14,-0.0730161918637447,0.9999999999999976,3.92139835446014e-18,38
0.68,20,0.02,48,1e-10,4.307219393637979e-07,1.7570399751340455e-05,1.757039975134089e-05,3.514079950268134e-05,3.5571521442045144e-05,0.7328901553665562,0.5474647452049026,0.5474647452049014,0.5128073861769048,0.5121982599868871,0.5474647452049014,0.1854254101616542,0.2200827691896514,2.4682470241527133e-14,-0.0847540170635182,1.0000000000000044,4.1266029838543285e-18,40
0.7000000000000001,20,0.02,48,1e-10,2.972250938834416e-07,2.496026977904684e-05,2.496026977904772e-05,4.992053955809456e-05,5.0217764651978e-05,0.751438804666764,0.5299112603033028,0.529911260303301,0.4952539012753046,0.4949570858168516,0.529911260303301,0.2215275443634621,0.2561849033914594,3.5428399002153854e-14,-0.0941824057202013,1.000000000000003,4.339673466604525e-18,41
0.72,20,0.02,48,1e-10,2.0154032270947307e-07,3.3622866369099425e-05,3.3622866369100326e-05,6.724573273819974e-05,6.744727306090922e-05,0.7708638181438725,0.5150152087881311,0.5150152087881298,0.4803578497601332,0.4802082202586433,0.5150152087881298,0.255848609355742,0.2905059683837392,2.6804468303952727e-14,-0.1014073880542932,1.0000000000000016,4.6096878167761855e-18,44
0.74,20,0.02,48,1e-10,1.3449190475556054e-07,4.3151225570392986e-05,4.31512255703939e-05,8.630245114078688e-05,8.643694304554245e-05,0.7910880913703434,0.5025399869139914,0.5025399869139904,0.4678826278859936,0.4678047695997787,0.5025399869139904,0.2885481044563526,0.3232054634843498,2.119975900898389e-14,-0.1065461146221299,1.0000000000000009,4.8954375940597595e-18,45
0.76,20,0.02,48,1e-10,8.936192410745503e-08,5.302345469905492e-05,5.302345469905634e-05,0.0001060469093981,0.0001061362713222,0.8115285575164239,0.4922388100406578,0.4922388100406564,0.4575814510126599,0.4575393355494608,0.4922388100406564,0.3192897474757668,0.353947106503764,2.6709672084689983e-14,-0.1097236975691315,1.0000000000000018,5.405501825276959e-18,47
