time,n_sites,final_field,prob_up,prob_down,return_echo,rate_up,rate_down,rate_total,rate_lower_envelope,delta_rate,magnetization_z
2.112,400,0.7,2.3899502338810644e-29,3.423389333269869e-09,3.423389333269869e-09,0.16475923788436153,0.04873158685875292,0.04873158685875292,0.04873158685875292,0.11602765102560861,-0.7351550863312227
2.116,400,0.7,1.2158476183494566e-29,4.775852333514013e-09,4.775852333514013e-09,0.16644881558748284,0.047899233449443905,0.047899233449443905,0.047899233449443905,0.11854958213803893,-0.7383448434263985
2.12,400,0.7,5.439261629609646e-29,6.637056199692756e-09,6.637056199692756e-09,0.16270331093755694,0.04707649328795896,0.04707649328795896,0.04707649328795896,0.11562681764959798,-0.7415212696552674
2.124,400,0.7,1.1566346766153772e-29,9.188406523756074e-09,9.188406523756074e-09,0.16657363262255998,0.046263308270056466,0.046263308270056466,0.046263308270056466,0.12031032435250351,-0.7446842008391724
2.128,400,0.7,2.734235071171908e-29,1.267228943707433e-08,1.267228943707433e-08,0.16442278995386084,0.04545962040364243,0.04545962040364243,0.04545962040364243,0.1189631695502184,-0.7478334722057293
2.132,400,0.7,4.28694895763041e-29,1.7411259823022034e-08,1.7411259823022034e-08,0.16329848103899178,0.04466537180937435,0.04466537180937435,0.04466537180937435,0.11863310922961742,-0.7509689184105207
2.136,400,0.7,1.1235240162132202e-29,2.3832827767712064e-08,2.3832827767712064e-08,0.16664624377041448,0.04388050472170774,0.04388050472170774,0.04388050472170774,0.12276573904870675,-0.7540903735591544
2.14,400,0.7,5.049335127443605e-30,3.25013374510221e-08,3.25013374510221e-08,0.1686457405328343,0.04310496149029577,0.04310496149029577,0.04310496149029577,0.12554077904253852,-0.7571976712296683
2.144,400,0.7,2.588902919882204e-29,4.4158790132589625e-08,4.4158790132589625e-08,0.16455933373477397,0.04233868458178181,0.04233868458178181,0.04233868458178181,0.12222064915299216,-0.760290644495297
2.148,400,0.7,8.25331489146911e-29,5.97768943782276e-08,5.97768943782276e-08,0.1616608819303905,0.04158161658072358,0.04158161658072358,0.04158161658072358,0.12007926534966691,-0.7633691259475788
2.152,400,0.7,4.102437361873917e-29,8.062314447368792e-08,8.062314447368792e-08,0.16340846605310894,0.04083370019093786,0.04083370019093786,0.04083370019093786,0.12257476586217107,-0.7664329477198105
2.156,400,0.7,3.843545600642706e-29,1.0834434580749632e-07,1.0834434580749632e-07,0.16357143105684288,0.04009487823710876,0.04009487823710876,0.04009487823710876,0.12347655281973413,-0.7694819415108464
2.16,400,0.7,4.281204128307441e-29,1.4507173881506716e-07,1.4507173881506716e-07,0.16330183347103064,0.03936509366606437,0.03936509366606437,0.03936509366606437,0.12393673980496628,-0.7725159386092301
2.164,400,0.7,3.98411469560297e-29,1.935527369352801e-07,1.935527369352801e-07,0.163481631421156,0.03864428954827073,0.03864428954827073,0.03864428954827073,0.12483734187288525,-0.7755347699176649
2.168,400,0.7,4.256454584686229e-29,2.573153062327004e-07,2.573153062327004e-07,0.16331632785045044,0.037932409078858684,0.037932409078858684,0.037932409078858684,0.12538391877159177,-0.7785382659778101
